date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:06:25	377920/377920	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2010%20Mar%202024%2018:13:26%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Thin.ttf	/Users/sandeeppatel/Desktop/example_site/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Thin.ttf	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
17:06:26	1307660/1307660	---MCZ	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Mar%202024%2018:13:27%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Thin.svg	/Users/sandeeppatel/Desktop/example_site/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Thin.svg	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
17:06:27	156496/156496	---M--	200	added ('OK')	application/font-woff2	date:Sun,%2010%20Mar%202024%2018:13:00%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-solid-900.woff2	/Users/sandeeppatel/Desktop/example_site/mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-solid-900.woff2	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
17:06:28	419720/419720	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2010%20Mar%202024%2018:13:01%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-solid-900.ttf	/Users/sandeeppatel/Desktop/example_site/mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-solid-900.ttf	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
17:06:28	25452/25452	---M--	200	added ('OK')	application/font-woff2	date:Sun,%2010%20Mar%202024%2018:12:57%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-regular-400.woff2	/Users/sandeeppatel/Desktop/example_site/mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-regular-400.woff2	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
17:06:29	68004/68004	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2010%20Mar%202024%2018:12:58%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-regular-400.ttf	/Users/sandeeppatel/Desktop/example_site/mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-regular-400.ttf	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
17:06:31	117372/117372	---M--	200	added ('OK')	application/font-woff2	date:Sun,%2010%20Mar%202024%2018:12:56%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-brands-400.woff2	/Users/sandeeppatel/Desktop/example_site/mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-brands-400.woff2	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
17:06:32	207972/207972	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2010%20Mar%202024%2018:12:56%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-brands-400.ttf	/Users/sandeeppatel/Desktop/example_site/mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-brands-400.ttf	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
17:06:32	1384/1384	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Mar%202024%2018:13:37%20GMT	https://mixdesign.club/themeforest/braxton/img/default-skin.png	/Users/sandeeppatel/Desktop/example_site/mixdesign.club/themeforest/braxton/img/default-skin.png	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
17:06:33	3848/3848	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Mar%202024%2018:13:37%20GMT	https://mixdesign.club/themeforest/braxton/img/default-skin.svg	/Users/sandeeppatel/Desktop/example_site/mixdesign.club/themeforest/braxton/img/default-skin.svg	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
17:06:34	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Sep%202024%2011:36:34%20GMT	https://mixdesign.club/themeforest/braxton/img/preloader.gif	/Users/sandeeppatel/Desktop/example_site/mixdesign.club/themeforest/braxton/img/preloader.gif	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
17:06:36	525212/525212	---M--	200	added ('OK')	image/webp	date:Wed,%2020%20Mar%202024%2016:28:35%20GMT	https://mixdesign.club/themeforest/braxton/img/backgrounds/1920x1080-main-bg.webp	/Users/sandeeppatel/Desktop/example_site/mixdesign.club/themeforest/braxton/img/backgrounds/1920x1080-main-bg.webp	(from https://mixdesign.club/themeforest/braxton/css/main.css)
